Vector,Name
"[-0.374, -0.8, 0.9, 0.6, 0.8, -0.8, 0.0, 0.0]",Lamy Safari
"[-0.456, 0.0, -0.9, 0.2, 0.8, -0.8, 0.0, 0.0]",Pilot Metropolitan
"[-0.331, -0.8, 0.9, 0.9, -0.5, -0.8, 0.0, 0.0]",TWSBI Eco
"[-0.44, 0.0, 0.9, 0.1, 0.0, -0.8, 0.0, 0.9]",Kaweco Sport
"[0.3, 0.8, -0.9, 0.6, 0.8, -0.8, 0.0, 0.0]",Pelikan M200
"[0.334, 1.0, -0.9, 0.5, 0.0, -0.8, 0.0, 0.0]",Sailor 1911S
"[-1.0, -0.8, 0.9, 0.7, 0.0, -0.8, 0.0, 0.0]",Platinum Preppy
"[0.373, 0.8, 0.9, 0.1, 0.8, -0.8, -0.5, 0.0]",Lamy 2000
"[0.518, 1.0, -0.9, 0.2, 0.0, -0.8, 0.0, -0.7]",Pilot Custom 823
"[0.916, 1.0, 0.2, 0.6, 0.8, -0.8, 1.0, -0.7]",Visconti Homo Sapiens
"[1.0, 1.0, -0.9, -0.4, 0.0, -0.8, 0.0, -0.7]",Montblanc Meisterstück 149
"[-0.065, 0.0, 0.9, -0.4, -0.2, -0.8, 0.0, 0.0]",TWSBI Diamond 580
"[0.278, 0.8, 0.9, 1.0, 0.0, -0.8, 0.0, 0.0]",Pilot Vanishing Point
"[0.507, 0.5, 0.2, 0.5, 0.0, -0.8, 0.8, 0.0]",Sailor Pro Gear
"[0.325, 0.0, -0.9, 0.4, 0.0, 0.4, 0.0, 0.0]",Platinum 3776 Century
"[-0.28, -0.8, 0.9, 0.1, 0.0, -0.8, 0.0, 0.0]",Lamy AL-Star
"[-0.131, 0.0, 0.9, -0.4, 0.8, -0.8, 0.0, 0.0]",Faber-Castell Loom
"[0.278, 0.8, 0.2, 0.1, 0.0, -0.8, 0.8, 0.0]",Diplomat Aero
"[0.553, 1.0, -0.9, 0.6, 0.0, -0.8, 0.0, 0.0]",Waterman Carène
"[0.75, 1.0, -0.9, 0.1, 0.0, -0.8, 0.0, 0.0]",Parker Duofold
"[-0.131, 0.0, 0.2, 0.1, -0.3, -0.8, 0.8, 0.0]",Narwhal Schuylkill
"[0.278, 0.0, -0.9, 0.6, 0.0, -0.8, 0.0, 0.0]",Esterbrook Estie
"[0.099, 0.5, 0.9, -0.4, 0.0, -0.8, 0.0, 0.0]",Opus 88 Koloro
"[0.087, 0.5, 0.2, -0.4, 0.0, -0.8, 1.0, 0.0]",Benu Euphoria
"[-0.681, -0.8, 0.9, 0.7, 0.0, -0.8, 0.0, 0.0]",Pilot Kakuno
"[-0.8, -0.8, -0.9, 0.1, 0.8, -0.8, 0.0, 0.0]",Jinhao x750
"[-0.343, 0.0, 0.9, 0.6, 0.0, -0.8, 0.0, 0.0]",Moonman T1
"[-0.591, -0.8, 0.9, 0.1, 0.0, -0.8, 0.0, 0.0]",Kaweco Perkeo
"[-0.297, 0.5, 0.9, -0.8, 0.0, -0.8, 0.0, 0.0]",Monteverde Ritma
"[-0.153, 0.5, -0.9, -0.9, 0.0, 0.9, 0.0, 0.0]",Conklin Duragraph
"[0.283, 0.0, 0.9, 0.6, 0.8, -0.8, 0.0, 0.0]",Pineider Avatar UR
"[0.73, 1.0, -0.9, 0.6, 0.0, -0.8, 0.0, 0.0]",Aurora Optima
"[0.837, 0.5, 0.2, -0.9, 0.0, 0.7, 0.8, -0.7]",Scribo Feel
"[0.288, 0.0, -0.9, 0.4, 0.0, 0.4, 0.0, 0.0]",Pilot Custom 74
"[0.011, 0.8, 0.9, 0.9, 0.0, -0.8, 0.0, 0.0]",Lamy Studio
"[0.288, 0.0, 0.2, -0.4, 0.0, -0.8, 0.8, 0.0]",Nahvalur Nautilus
"[0.323, 0.0, 0.9, 0.1, -0.3, -0.8, 0.0, 0.0]",Franklin-Christoph 46
"[0.819, 1.0, -0.9, -0.4, 0.0, -0.8, 0.0, -0.7]",Pelikan M800
"[0.373, 0.0, 0.2, 0.6, 0.0, -0.8, 0.8, 0.0]",Leonardo Momento Zero
"[0.334, 0.5, -0.9, 0.4, 0.0, 0.4, 0.0, 0.0]",Pilot Falcon
